# TYPE Humidity gauge
# UNIT Humidity TBF
# HELP Humidity Humidity

LABELS {location="DEB-KER06",validated="Y"}

#hour_index,hour_avg,min,max,sum,count
1,47.817,0,95,2869.0,60
2,56.475,0,98,3332.0,59
3,52.733,2,99,3164.0,60
4,50.267,1,98,3016.0,60
5,44.117,0,97,2647.0,60
6,49.1,0,99,2946.0,60
7,50.2,1,94,3012.0,60
8,45.917,1,94,2755.0,60
9,50.75,6,99,3045.0,60
10,53.254,3,99,3142.0,59
11,49.583,2,98,2975.0,60
12,47.607,2,96,2904.0,61
13,45.627,0,99,2692.0,59
14,44.672,1,99,2725.0,61
15,51.847,0,99,3059.0,59
16,47.867,2,99,2872.0,60
17,51.683,2,97,3101.0,60
18,46.115,0,97,2813.0,61
19,47.661,0,97,2812.0,59
20,48.049,0,98,2931.0,61
21,49.984,0,99,3049.0,61
22,46.467,0,96,2788.0,60
23,48.633,0,98,2918.0,60
24,53.932,2,98,3182.0,59
